episode,steps,X,Y,yaw,steer,throttle,action,reward,done,all_wheels_on_track,progress,closest_waypoint,track_len,tstamp,episode_status,pause_duration
0,1.0,-4.022856137782035,-0.15453159355710175,-95.00103347123647,-2.465563050350525,1.804941592433847,[-2.465563050350525 1.804941592433847],0.0,False,True,0.6065070142500397,1,23.090893150458665,24.28,prepare,0.0
0,2.0,-4.022849314726577,-0.15437182324580156,-95.00122775598611,-30.0,1.4016873573094037,[-30.0 1.4016873573094037],10.0,False,True,0.6058182518481047,1,23.090893150458665,24.355,in_progress,0.0
0,3.0,-4.024541227187164,-0.16153278261400464,-95.14171397097378,21.04075158643908,3.0,[21.04075158643908 3.0],10.0,False,True,0.6363171734159699,1,23.090893150458665,24.413,in_progress,0.0
0,4.0,-4.024157926481304,-0.19494268322575214,-93.71145992321614,-28.35280636381204,1.6387986541785775,[-28.35280636381204 1.6387986541785775],10.0,False,True,0.7808310261688268,1,23.090893150458665,24.488,in_progress,0.0
0,5.0,-4.018806339463072,-0.21273932945630486,-91.9579663526533,1.0331701702755893,2.0306703967928055,[1.0331701702755893 2.0306703967928055],10.0,False,True,0.8591901883650179,2,23.090893150458665,24.55,in_progress,0.0
0,6.0,-4.0148324630884265,-0.26080328872989894,-90.63754707831865,26.037208468677306,3.0,[26.037208468677306 3.0],10.0,False,True,1.0680075074340347,2,23.090893150458665,24.625,in_progress,0.0
0,7.0,-4.002340747541241,-0.3161784117245121,-87.55490732936832,-30.0,2.39760297038356,[-30.0 2.39760297038356],10.0,False,True,1.3107104364207782,2,23.090893150458665,24.677,in_progress,0.0
0,8.0,-3.98988101495282,-0.38282505634239306,-85.32952077191408,-22.6708698053759,1.0,[-22.6708698053759 1.0],10.0,False,True,1.602124858211854,3,23.090893150458665,24.752,in_progress,0.0
0,9.0,-3.994373646926809,-0.4605137430575772,-87.7393525768267,-12.375855304613175,2.2093953077169983,[-12.375855304613175 2.2093953077169983],10.0,False,True,1.9395973954774979,3,23.090893150458665,24.822,in_progress,0.0
0,10.0,-4.007852371347991,-0.5328002299900665,-91.3943202078157,18.042562554192557,2.7267123116370215,[18.042562554192557 2.7267123116370215],10.0,False,True,2.2402036301687405,3,23.090893150458665,24.873,in_progress,0.0
0,11.0,-4.025856076474166,-0.6230851318167079,-94.79570679643194,-2.1423138387997547,1.0,[-2.1423138387997547 1.0],10.0,False,True,2.6148905723283677,4,23.090893150458665,24.945,in_progress,0.0
0,12.0,-4.032456071175187,-0.7235014514363077,-94.53509649948306,30.0,3.0,[30.0 3.0],10.0,False,True,3.040424820080495,4,23.090893150458665,25.019,in_progress,0.0
0,13.0,-4.034851270610648,-0.8225008804260672,-93.21504727101961,28.281885561866446,1.0,[28.281885561866446 1.0],10.0,False,True,3.4294438110103886,4,23.090893150458665,25.088,in_progress,0.0
0,14.0,-4.024657000047948,-0.9146663723132662,-89.70687153298807,30.0,3.0,[30.0 3.0],10.0,False,True,3.8278116085062575,4,23.090893150458665,25.151,in_progress,0.0
0,15.0,-3.998796711805446,-1.0148349028610093,-84.14951596647494,18.43321386295579,2.7454219375567828,[18.43321386295579 2.7454219375567828],10.0,False,True,4.275778693469692,5,23.090893150458665,25.222,in_progress,0.0
0,16.0,-3.950901417513419,-1.112710540538258,-75.96070988650523,-30.0,3.0,[-30.0 3.0],10.0,False,True,4.701184293528093,5,23.090893150458665,25.29,in_progress,0.0
0,17.0,-3.89433756801957,-1.224734488430396,-68.97901655260927,28.889168917968306,2.9690734847121503,[28.889168917968306 2.9690734847121503],10.0,False,True,5.239983595567853,6,23.090893150458665,25.34,in_progress,0.0
0,18.0,-3.838808771864173,-1.34803623320455,-66.37759717466754,-30.0,1.3163969157628181,[-30.0 1.3163969157628181],10.0,False,True,5.823409733383006,6,23.090893150458665,25.417,in_progress,0.0
0,19.0,-3.7727378510248784,-1.4601381311930146,-62.19435996311405,12.372167824354506,3.0,[12.372167824354506 3.0],10.0,False,True,6.346109403002355,6,23.090893150458665,25.489,in_progress,0.0
0,20.0,-3.702742523972186,-1.5786506707009318,-60.33176093855736,-9.421118623457446,2.3754132630067826,[-9.421118623457446 2.3754132630067826],10.0,False,True,6.941945000090914,7,23.090893150458665,25.549,in_progress,0.0
0,21.0,-3.609210346220907,-1.7359258326796672,-59.9632415468047,-15.807510932079696,1.1902459227476405,[-15.807510932079696 1.1902459227476405],10.0,False,True,7.671037588781283,7,23.090893150458665,25.622,in_progress,0.0
0,22.0,-3.573013234587551,-1.8219213063348068,-62.57018349104333,30.0,2.5513138248658023,[30.0 2.5513138248658023],5.0,False,True,8.04966420050841,8,23.090893150458665,25.689,in_progress,0.0
0,23.0,-3.5069092755378106,-1.9656260469213815,-63.583355276778406,-5.297800620989783,1.9973514566672121,[-5.297800620989783 1.9973514566672121],5.0,False,True,8.456213137799216,8,23.090893150458665,25.748,in_progress,0.0
0,24.0,-3.445982792525183,-2.0686522755351677,-61.814515984859305,5.63104147314418,1.5216708344714411,[5.63104147314418 1.5216708344714411],5.0,False,True,8.864513242624474,8,23.090893150458665,25.82,in_progress,0.0
0,25.0,-3.378982383822479,-2.1732325597745943,-59.79600237850798,-30.0,2.8587251427466964,[-30.0 2.8587251427466964],1.0,False,True,9.32080061961534,9,23.090893150458665,25.892,in_progress,0.0
0,26.0,-3.3002146532755035,-2.2877702587541076,-57.82222608573917,-30.0,1.938714074650349,[-30.0 1.938714074650349],1.0,False,True,9.764936744791514,9,23.090893150458665,25.95,in_progress,0.0
