episode,steps,X,Y,yaw,steer,throttle,action,reward,done,all_wheels_on_track,progress,closest_waypoint,track_len,tstamp,episode_status,pause_duration
40,1.0,-4.022869580422446,-0.15463883095793818,-94.9842633136393,4.828314722759558,1.0,[4.828314722759558 1.0],0.0,False,True,0.6069669333522482,1,23.090893150458665,113.752,prepare,0.0
40,2.0,-4.0228138174588945,-0.15459115212437924,-94.97836604527326,5.871984405418466,3.0,[5.871984405418466 3.0],10.0,False,True,0.6067757973779276,1,23.090893150458665,113.822,in_progress,0.0
40,3.0,-4.021959375262615,-0.15867994850788472,-94.6416502804975,-9.474612015558204,2.2703719410999224,[-9.474612015558204 2.2703719410999224],10.0,False,True,0.6246783200082932,1,23.090893150458665,113.88,in_progress,0.0
40,4.0,-4.028820475611703,-0.1800550857642436,-95.87782286817917,-9.785003832598928,2.720811006406983,[-9.785003832598928 2.720811006406983],10.0,False,True,0.7152306927121376,1,23.090893150458665,113.954,in_progress,0.0
40,5.0,-4.036321966973026,-0.20618750688461812,-97.03765086287135,14.03863313610433,3.0,[14.03863313610433 3.0],10.0,False,True,0.8261742653441791,1,23.090893150458665,114.021,in_progress,0.0
40,6.0,-4.0408165316218465,-0.2537081288854781,-96.65814252241546,30.0,3.0,[30.0 3.0],10.0,False,True,1.030372498031978,2,23.090893150458665,114.089,in_progress,0.0
40,7.0,-4.028366933575162,-0.3105587114359973,-92.19589908581194,7.799276776887993,3.0,[7.799276776887993 3.0],10.0,False,True,1.2794416664672952,2,23.090893150458665,114.159,in_progress,0.0
40,8.0,-4.004148797343247,-0.3875233750056821,-86.21125442807445,30.0,3.0,[30.0 3.0],10.0,False,True,1.6186074027147057,3,23.090893150458665,114.226,in_progress,0.0
40,9.0,-3.980837739019764,-0.4528799109401097,-81.76351048415508,-28.938540179822535,3.0,[-28.938540179822535 3.0],10.0,False,True,1.9157933053419292,3,23.090893150458665,114.287,in_progress,0.0
40,10.0,-3.945678026483788,-0.5482486235977068,-77.44431902854691,-10.751087125457836,1.1001005348690471,[-10.751087125457836 1.1001005348690471],10.0,False,True,2.3470993866855596,3,23.090893150458665,114.351,in_progress,0.0
40,11.0,-3.9282395520963753,-0.6387873214965154,-77.87756972037948,-11.033430865911932,1.0,[-11.033430865911932 1.0],10.0,False,True,2.7461103096941284,4,23.090893150458665,114.419,in_progress,0.0
40,12.0,-3.9232117137339,-0.7217400016176163,-80.65831192751526,30.0,3.0,[30.0 3.0],10.0,False,True,3.1045100714750076,4,23.090893150458665,114.484,in_progress,0.0
40,13.0,-3.920110303086978,-0.807867185402795,-82.90734706530921,2.3379629221151035,2.973185955736355,[2.3379629221151035 2.973185955736355],10.0,False,True,3.484337952161391,4,23.090893150458665,114.546,in_progress,0.0
40,14.0,-3.896097316428818,-0.9357896797640365,-81.28893534237538,18.066571652233357,1.0,[18.066571652233357 1.0],10.0,False,True,4.04727367283748,5,23.090893150458665,114.602,in_progress,0.0
