episode,steps,X,Y,yaw,steer,throttle,action,reward,done,all_wheels_on_track,progress,closest_waypoint,track_len,tstamp,episode_status,pause_duration
140,1.0,-4.022955422016019,-0.15466669642952774,-95.0693885563897,26.116630526356616,2.18090523886627,[26.116630526356616 2.18090523886627],0.0,False,True,0.6070643632753457,1,23.090893150458665,585.967,prepare,0.0
140,2.0,-4.0229126937089985,-0.15465304231100155,-95.04748549296245,30.0,3.0,[30.0 3.0],10.0,False,True,0.6070168009995645,1,23.090893150458665,586.021,in_progress,0.0
140,3.0,-4.019412204026731,-0.16134735669394518,-94.3934891367704,30.0,1.0,[30.0 1.0],10.0,False,True,0.6368908843516016,1,23.090893150458665,586.103,in_progress,0.0
140,4.0,-4.0129480920910465,-0.17408031774517704,-92.9337884585218,30.0,2.8132963759684744,[30.0 2.8132963759684744],10.0,False,True,0.693661045218928,1,23.090893150458665,586.164,in_progress,0.0
140,5.0,-3.994213320850547,-0.20325690486254158,-88.0454979184184,30.0,3.0,[30.0 3.0],10.0,False,True,0.8247972144008017,1,23.090893150458665,586.229,in_progress,0.0
140,6.0,-3.97172826443667,-0.2377823203900738,-82.96086488130159,15.436424214313845,1.0446646728469429,[15.436424214313845 1.0446646728469429],10.0,False,True,0.9800587085403614,2,23.090893150458665,586.302,in_progress,0.0
140,7.0,-3.9412925590247863,-0.2867603250398262,-77.42138255694324,-30.0,1.2378984079292215,[-30.0 1.2378984079292215],10.0,False,True,1.199921861658396,2,23.090893150458665,586.356,in_progress,0.0
140,8.0,-3.9151968016003016,-0.3497605255845018,-74.82538093014178,-30.0,3.0,[-30.0 3.0],10.0,False,True,1.4792309784913353,2,23.090893150458665,586.435,in_progress,0.0
140,9.0,-3.9070863004202976,-0.4052178748977907,-76.35760774894852,-30.0,1.8442677476411453,[-30.0 1.8442677476411453],10.0,False,True,1.7211146291150539,3,23.090893150458665,586.478,in_progress,0.0
140,10.0,-3.916723381537294,-0.5024714712126821,-83.21973303959965,30.0,1.0,[30.0 1.0],10.0,False,True,2.170120863422427,3,23.090893150458665,586.572,in_progress,0.0
140,11.0,-3.932034014378483,-0.5798494057039167,-89.27988839076237,-10.02136090454848,2.033512496718929,[-10.02136090454848 2.033512496718929],10.0,False,True,2.4913214488801843,3,23.090893150458665,586.644,in_progress,0.0
140,12.0,-3.9474051679554027,-0.6786269546739416,-93.11060064822821,30.0,3.0,[30.0 3.0],10.0,False,True,2.904089680711481,4,23.090893150458665,586.7,in_progress,0.0
140,13.0,-3.961215300933972,-0.7602737521917768,-95.08354775750875,27.840977036782526,1.0,[27.840977036782526 1.0],10.0,False,True,3.242233530813384,4,23.090893150458665,586.761,in_progress,0.0
140,14.0,-3.9638940931364797,-0.8520397146666518,-93.85900019406242,30.0,1.9610624024269727,[30.0 1.9610624024269727],10.0,False,True,3.625848665048588,4,23.090893150458665,586.825,in_progress,0.0
140,15.0,-3.956081868133114,-0.9566738935253096,-90.67563129757397,-3.6455031604099126,3.0,[-3.6455031604099126 3.0],10.0,False,True,4.074291074802643,5,23.090893150458665,586.902,in_progress,0.0
140,16.0,-3.9463909953306437,-1.0601065925643594,-88.50665542169811,-23.647398749258734,1.0,[-23.647398749258734 1.0],10.0,False,True,4.513331672614826,5,23.090893150458665,586.964,in_progress,0.0
140,17.0,-3.9476411759312566,-1.1626272550433903,-89.43507092935832,30.0,3.0,[30.0 3.0],10.0,False,True,4.909912023223657,5,23.090893150458665,587.035,in_progress,0.0
140,18.0,-3.942301102623263,-1.2858590642957413,-88.17875923039539,-8.203115561499185,2.111319738117996,[-8.203115561499185 2.111319738117996],5.0,False,True,5.4213379104506,6,23.090893150458665,587.101,in_progress,0.0
140,19.0,-3.927401850964475,-1.4034660383685298,-85.67368510774517,30.0,1.379814369674216,[30.0 1.379814369674216],5.0,False,True,5.829567518577491,6,23.090893150458665,587.17,in_progress,0.0
140,20.0,-3.918030754834189,-1.5214701169497986,-85.67981367167421,-8.786036231742973,3.0,[-8.786036231742973 3.0],5.0,False,True,6.274082373343655,6,23.090893150458665,587.229,in_progress,0.0
140,21.0,-3.9095143514332924,-1.6355140150206082,-85.80669075076618,21.70180654360709,1.653687074274885,[21.70180654360709 1.653687074274885],5.0,False,True,6.724148643311563,7,23.090893150458665,587.288,in_progress,0.0
140,22.0,-3.8989848982760456,-1.762017611722634,-85.65186403634033,-17.254142614009726,3.0,[-17.254142614009726 3.0],1.0,False,True,7.144937081120268,7,23.090893150458665,587.368,in_progress,0.0
140,23.0,-3.8863642049825184,-1.882286368039673,-85.08573155858234,30.0,1.0,[30.0 1.0],1.0,False,True,7.3099039925912175,7,23.090893150458665,587.427,in_progress,0.0
140,24.0,-3.879867940171186,-2.01866420081042,-86.05781630300426,30.0,1.0,[30.0 1.0],1.0,False,True,7.759248166024742,7,23.090893150458665,587.487,in_progress,0.0
140,25.0,-3.8714674704404026,-2.109840893740436,-85.6181613234236,-3.8420413427105764,1.8629980447032266,[-3.8420413427105764 1.8629980447032266],1.0,False,False,8.071704833666505,8,23.090893150458665,587.567,in_progress,0.0
140,26.0,-3.8599805928057616,-2.2144188643248257,-85.03734839404464,30.0,3.0,[30.0 3.0],0.001,False,False,8.435583199505443,8,23.090893150458665,587.631,in_progress,0.0
140,27.0,-3.841203817925236,-2.3179158833158553,-82.85747272572607,-10.8246081365984,2.5069186896994333,[-10.8246081365984 2.5069186896994333],0.001,False,False,8.456213137798926,8,23.090893150458665,587.703,in_progress,0.0
140,28.0,-3.811255012459004,-2.468923628559756,-80.9327995343419,30.0,1.9600094793602698,[30.0 1.9600094793602698],0.001,True,False,8.456213137798926,8,23.090893150458665,587.765,off_track,0.0
141,1.0,-3.80223909286969,-1.2823992458203768,-70.68373678100045,30.0,1.0,[30.0 1.0],0.0,False,True,0.6073272003116519,6,23.090893150458665,587.901,prepare,0.0
141,2.0,-3.802549775055961,-1.2823547537747495,-70.73536703244892,30.0,1.0,[30.0 1.0],10.0,False,True,0.6067013764550759,6,23.090893150458665,587.956,in_progress,0.0
141,3.0,-3.7966799496884502,-1.288604481186133,-70.01936027954059,22.43556133313958,2.054598077830339,[22.43556133313958 2.054598077830339],10.0,False,True,0.6406388273239743,6,23.090893150458665,588.037,in_progress,0.0
141,4.0,-3.7792755804399714,-1.3014735267121167,-67.14861801585587,30.0,1.0,[30.0 1.0],10.0,False,True,0.7181189669529471,6,23.090893150458665,588.097,in_progress,0.0
141,5.0,-3.7480701324466112,-1.318203075360885,-61.894512108605504,30.0,1.0,[30.0 1.0],10.0,False,True,0.8598769962797799,6,23.090893150458665,588.154,in_progress,0.0
141,6.0,-3.7024712073901758,-1.3394492787636434,-54.73001709338317,-16.309353714197275,1.200334739676566,[-16.309353714197275 1.200334739676566],10.0,False,True,1.0359546152784096,6,23.090893150458665,588.223,in_progress,0.0
141,7.0,-3.6506188976233456,-1.3648741557121418,-48.30584273923822,22.933157641102362,1.6222201107548,[22.933157641102362 1.6222201107548],10.0,False,True,1.240973567787279,6,23.090893150458665,588.295,in_progress,0.0
141,8.0,-3.6012554753010155,-1.3954133373777475,-44.11718975286366,30.0,1.8055289599430575,[30.0 1.8055289599430575],5.0,False,True,1.4601597887245812,6,23.090893150458665,588.373,in_progress,0.0
141,9.0,-3.524595240451451,-1.4227490478176406,-36.560538340455636,-2.8242744769771235,1.0,[-2.8242744769771235 1.0],5.0,False,True,1.7244074517523424,7,23.090893150458665,588.439,in_progress,0.0
141,10.0,-3.4501644761679624,-1.4446737249629442,-30.372166114862434,30.0,2.8543717732469247,[30.0 2.8543717732469247],5.0,False,True,1.9634756090454577,7,23.090893150458665,588.503,in_progress,0.0
141,11.0,-3.3720804606964436,-1.4675913478929203,-25.568285652096506,-30.0,1.3709069996596126,[-30.0 1.3709069996596126],1.0,False,True,2.5287288149420966,7,23.090893150458665,588.565,in_progress,0.0
141,12.0,-3.2798307164169542,-1.4896972070240158,-20.409090977299893,9.660129564601945,1.9203161390445946,[9.660129564601945 1.9203161390445946],1.0,False,True,2.872263268700255,8,23.090893150458665,588.632,in_progress,0.0
141,13.0,-3.201789667240445,-1.515405024161136,-19.425677406365445,-30.0,1.5680024528616268,[-30.0 1.5680024528616268],1.0,False,True,3.7929510337164603,8,23.090893150458665,588.701,in_progress,0.0
141,14.0,-3.0959995623394128,-1.549318255627058,-18.837097118166838,-30.0,2.0658912306254282,[-30.0 2.0658912306254282],1.0,False,True,4.269828433635499,9,23.090893150458665,588.757,in_progress,0.0
141,15.0,-2.9871508017212203,-1.6104334601607533,-23.608492213326542,-30.0,1.406174498480695,[-30.0 1.406174498480695],1.0,False,True,5.384682211830821,9,23.090893150458665,588.833,in_progress,0.0
141,16.0,-2.920831346771134,-1.6568403073492055,-27.1111015447469,30.0,2.5425756962099095,[30.0 2.5425756962099095],1.0,False,True,5.687205120144981,10,23.090893150458665,588.897,in_progress,0.0
141,17.0,-2.8220982692031633,-1.717137991721822,-28.646204766563372,30.0,2.0204493102022205,[30.0 2.0204493102022205],5.0,False,True,6.331983784993786,10,23.090893150458665,588.968,in_progress,0.0
141,18.0,-2.7007636844138765,-1.7610887093093097,-24.61480690200563,28.453359244194196,2.6592386723042996,[28.453359244194196 2.6592386723042996],5.0,False,True,6.836075199202246,11,23.090893150458665,589.033,in_progress,0.0
141,19.0,-2.573851588558,-1.7886062693136884,-18.757300118669335,30.0,1.6739150032344672,[30.0 1.6739150032344672],5.0,False,True,7.3712336035215555,11,23.090893150458665,589.088,in_progress,0.0
141,20.0,-2.4548398319673495,-1.8016692705800383,-13.013594236647,-14.968748738372286,1.0,[-14.968748738372286 1.0],5.0,False,True,7.913122709076835,11,23.090893150458665,589.168,in_progress,0.0
141,21.0,-2.3301944404191515,-1.8172202679111014,-9.504443921171818,-11.940537883324218,2.7126468444469416,[-11.940537883324218 2.7126468444469416],10.0,False,True,8.4349017518017,12,23.090893150458665,589.229,in_progress,0.0
141,22.0,-2.2276043775298615,-1.8411034586651633,-10.953061489186304,-27.216284215875458,1.1215229800793036,[-27.216284215875458 1.1215229800793036],10.0,False,True,8.856035098612864,12,23.090893150458665,589.3,in_progress,0.0
141,23.0,-2.11170400591142,-1.8830226342939949,-14.864179641618158,4.242837840211138,1.5380914973472688,[4.242837840211138 1.5380914973472688],10.0,False,True,9.322668273781055,12,23.090893150458665,589.377,in_progress,0.0
141,24.0,-2.0001633605830484,-1.919772088477633,-16.214552037396217,-7.715899451777702,1.0,[-7.715899451777702 1.0],10.0,False,True,9.774225336484257,13,23.090893150458665,589.421,in_progress,0.0
141,25.0,-1.914160896737862,-1.9462003669701993,-16.466304399813136,-2.5577964222806564,1.3818024795084085,[-2.5577964222806564 1.3818024795084085],10.0,False,True,10.176699572704571,13,23.090893150458665,589.5,in_progress,0.0
141,26.0,-1.8222251971977752,-1.9759521112188747,-17.039156264811588,14.015778638621754,1.1457364399170984,[14.015778638621754 1.1457364399170984],5.0,False,True,10.568729194305124,13,23.090893150458665,589.57,in_progress,0.0
141,27.0,-1.7380070626398654,-1.9996135792486325,-16.54634635982556,13.655961856050247,1.3038836432586565,[13.655961856050247 1.3038836432586565],5.0,False,True,10.928541042874382,14,23.090893150458665,589.634,in_progress,0.0
141,28.0,-1.6497210333093086,-2.0116562252830352,-13.57036538163879,-30.0,1.0,[-30.0 1.0],5.0,False,True,11.509206260346248,14,23.090893150458665,589.702,in_progress,0.0
141,29.0,-1.5619185591945557,-2.022590058592552,-11.12480415976497,-9.44719362429354,1.0,[-9.44719362429354 1.0],5.0,False,True,11.890877822324681,14,23.090893150458665,589.773,in_progress,0.0
141,30.0,-1.478195765057414,-2.0466374437751833,-12.77289166049284,-0.2671292751780996,2.352561713033375,[-0.2671292751780996 2.352561713033375],5.0,False,True,12.26727241932424,15,23.090893150458665,589.834,in_progress,0.0
141,31.0,-1.397127202081212,-2.068935562500878,-13.561254563859695,-30.0,2.0320467593958833,[-30.0 2.0320467593958833],5.0,False,True,12.899815009064886,15,23.090893150458665,589.909,in_progress,0.0
